WeekEnding,Cases
2020-08-02,2
2020-08-09,37
2020-08-16,98
2020-08-23,313
2020-08-30,586
2020-09-06,706
2020-09-13,972
2020-09-20,1564
2020-09-27,1734
2020-10-04,1979
2020-10-11,2624
2020-10-18,2926
2020-10-25,3258
2020-11-01,3466
2020-11-08,5578
2020-11-15,7564
2020-11-22,7201
2020-11-29,2166
2020-12-06,8290
2020-12-13,8111
2020-12-20,6676
2020-12-27,796
2021-01-03,1498
2021-01-10,10487
2021-01-17,9696
2021-01-24,10231
2021-01-31,10137
2021-02-07,8179
2021-02-14,5045
2021-02-21,403
2021-02-28,3051
2021-03-07,2314
2021-03-14,1292
2021-03-21,659
2021-03-28,2263
2021-04-04,1696
2021-04-11,2530
2021-04-18,2275
2021-04-25,2196
2021-05-02,2169
2021-05-09,1660
2021-05-16,1301
2021-05-23,939
2021-05-30,486
2021-06-06,187
2021-06-13,102
2021-06-20,96
2021-06-27,54
2021-07-04,45
2021-07-11,41
2021-07-18,86
2021-07-25,149
2021-08-01,283
2021-08-08,1323
2021-08-15,5325
2021-08-22,19491
2021-08-29,38463
2021-09-05,43501
2021-09-12,32331
2021-09-19,22750
2021-09-26,15368
2021-10-03,11696
2021-10-10,7943
2021-10-17,6113
2021-10-24,4930
2021-10-31,4064
2021-11-07,3860
2021-11-14,4523
2021-11-21,3816
2021-11-28,448
2021-12-05,4632
2021-12-12,3737
2021-12-19,4449
2021-12-26,480
2022-01-02,2241
2022-01-09,43184
2022-01-16,94357
2022-01-23,89855
2022-01-30,50623
2022-02-06,21180
2022-02-13,10403
2022-02-20,4615
2022-02-27,2190
2022-03-06,1494
2022-03-13,754
2022-03-20,165
2022-03-27,736
2022-04-03,662
2022-04-10,630